Map,Date,Score,Rating,Kills,Deaths,K/D,Aim,Utility,Source,Link
Inferno,2023-05-12,16 : 7,10.98,23,13,1.77,52,65,Steam,/app/match-details/3b4e69c4-9052-4895-b82c-bdebc1bf55e4
Anubis,2023-05-12,16 : 5,10.36,24,8,3.0,73,48,Steam,/app/match-details/f0459f13-f485-4417-b205-eae58931bcf6
Anubis,2023-05-12,9 : 1,10.17,9,3,3.0,93,84,Steam,/app/match-details/816e7b0f-4338-40b2-8fca-14d6e25e609c
Inferno,2023-05-11,11 : 16,-0.03,21,21,1.0,73,58,Gamers Club,/app/match-details/218736a0-5e7e-45d5-8e3b-821ff3b4be3c
Mirage,2023-05-10,10 : 16,13.42,29,19,1.53,85,28,Steam,/app/match-details/0e2b92d5-e1b1-408f-8cc7-b076468f994a
Vertigo,2023-05-10,14 : 16,5.88,29,18,1.61,69,40,Steam,/app/match-details/91fb078b-1514-46ab-91b0-bfcddb9c6a8d
Dust2,2023-05-10,2 : 9,-6.14,6,10,0.6,50,48,Steam,/app/match-details/6b1b340f-68da-4a98-9b9a-b1d9511a8b69
Overpass,2023-05-07,16 : 8,0.96,17,17,1.0,41,56,Steam,/app/match-details/6c56b33e-e6dd-4ef4-b86d-3267b3fb7e72
Mirage,2023-05-07,9 : 7,4.31,13,8,1.63,86,36,Steam,/app/match-details/aa7e7ba6-aa14-40bb-8177-6431fb944854
Inferno,2023-05-07,13 : 16,3.61,22,18,1.22,86,59,Steam,/app/match-details/be7f7da6-587b-426a-b8c3-71887a1e0f83
Dust2,2023-05-06,16 : 6,8.47,21,12,1.75,78,41,Steam,/app/match-details/52b9c02a-2ac6-4539-a1b1-d0e95e79e73b
Inferno,2023-05-05,16 : 13,2.33,23,20,1.15,56,58,Steam,/app/match-details/9b81d182-8284-45fc-8740-8608734a6af8
Mirage,2023-05-05,16 : 4,3.56,17,9,1.89,48,37,Steam,/app/match-details/2727abf0-bf1b-4b68-a723-7192b10c51e9
Vertigo,2023-05-05,13 : 16,0.34,19,24,0.79,59,50,Steam,/app/match-details/1dcedf13-6f5e-4073-9e55-4fd57c734f29
Overpass,2023-05-05,16 : 11,5.22,17,17,1.0,52,33,Steam,/app/match-details/b63b3dd5-faae-43d5-bda3-e3ceb2b2996b
Train,2023-05-05,3 : 16,-9.56,9,18,0.5,49,41,Steam,/app/match-details/1012e758-d3cb-496c-a3d4-7189c6416769
Cache,2023-05-05,1 : 9,-3.86,3,9,0.33,25,58,Steam,/app/match-details/265012bd-85c3-488a-a7cb-1145c979fb58
Overpass,2023-05-03,16 : 10,-4.6,12,19,0.63,39,48,Gamers Club,/app/match-details/f63884dd-86a8-4652-a636-c2829a9851b4
