Map,Date,Score,Rating,Kills,Deaths,K/D,Aim,Utility,Source,Link
Ancient,2023-04-17,14 : 16,7.25,29,24,1.21,68,65,Gamers Club,/app/match-details/6f8bb543-1fcb-4a37-8381-c2e88fe89d41
Dust2,2023-04-17,14 : 16,7.12,33,19,1.74,80,55,Gamers Club,/app/match-details/67556a2d-3816-4fe1-a889-4869b6580f2c
Dust2,2023-04-13,16 : 8,5.31,21,14,1.5,91,48,Gamers Club,/app/match-details/ae49c90a-3abe-4311-9b3a-d7ac7f9e46c9
Inferno,2023-04-13,12 : 16,-3.52,18,22,0.82,54,85,Gamers Club,/app/match-details/1d9164f7-7efb-4399-a6bd-fd3a3607f5f6
Vertigo,2023-04-13,13 : 16,-2.15,16,22,0.73,67,56,Gamers Club,/app/match-details/e1e2e579-1167-4b52-abbe-e0f73875f445
Ancient,2023-04-12,14 : 16,-1.85,21,20,1.05,64,73,Gamers Club,/app/match-details/dbb7c346-1401-48b4-8be4-f2fad9b8eb08
Overpass,2023-04-12,10 : 16,-3.7,10,18,0.56,73,42,Gamers Club,/app/match-details/90c83901-cf3a-46b5-b429-14ea6b521abc
Mirage,2023-04-12,16 : 13,-0.36,21,18,1.17,69,58,Gamers Club,/app/match-details/0f302be8-c03b-4492-b8e2-f836301b827f
Dust2,2023-04-11,8 : 16,-2.33,11,19,0.58,59,68,Gamers Club,/app/match-details/06656b69-d99a-4862-b96f-344972b76774
Inferno,2023-04-11,4 : 16,-0.52,14,16,0.88,64,70,Gamers Club,/app/match-details/a87191e8-fe96-418d-af50-bf21b82604c2
Inferno,2023-04-11,16 : 3,7.0,12,8,1.5,63,77,Gamers Club,/app/match-details/aa8c0a9f-b11c-441b-8727-4df54e2dce4a
Mirage,2023-04-11,16 : 3,4.87,18,9,2.0,82,56,Gamers Club,/app/match-details/e37ae248-7ed1-490e-811d-aea2eee6f2f3
Inferno,2023-04-10,16 : 5,8.49,26,8,3.25,82,68,Gamers Club,/app/match-details/995584db-db46-4bc5-8d81-567679d83416
Dust2,2023-04-10,14 : 16,2.8,29,23,1.26,64,57,Gamers Club,/app/match-details/a70a0451-fb5f-4d80-a12a-027c0ae8383b
Mirage,2023-04-10,16 : 19,4.07,36,24,1.5,77,65,Gamers Club,/app/match-details/defac1f8-cd58-4b98-80cf-1aaede869089
Dust2,2023-04-09,16 : 11,2.45,21,16,1.31,69,47,Gamers Club,/app/match-details/40753171-14d9-4954-95c1-e14689d6644e
