Map,Date,Score,Rating,Kills,Deaths,K/D,Aim,Utility,Source,Link
Ancient,2023-05-30,22 : 25,1.17,40,34,1.18,78,48,Gamers Club,/app/match-details/9f75ef76-89a7-4b77-b8fd-4a7f76c9005f
Inferno,2023-05-29,9 : 16,3.23,31,18,1.72,94,47,Gamers Club,/app/match-details/2b9c9294-aa93-4ad4-bcac-6f046ce965e3
Nuke,2023-05-28,16 : 14,6.23,28,19,1.47,84,45,Gamers Club,/app/match-details/81b1b57d-9492-46e6-a4e5-ea1f32fcb6e2
Overpass,2023-05-28,16 : 14,2.27,25,21,1.19,73,44,Gamers Club,/app/match-details/3b5d49bc-dca6-444a-921c-dfc36cee177c
Ancient,2023-05-28,16 : 3,13.19,25,10,2.5,86,80,Gamers Club,/app/match-details/84a7c8f2-e419-4071-8dff-4dfc5fdad32d
Dust2,2023-05-28,6 : 16,-0.9,10,15,0.67,77,52,Steam,/app/match-details/25d53235-020c-475d-b367-54bd2d4bb050
Inferno,2023-05-27,13 : 16,-3.44,11,20,0.55,77,66,Gamers Club,/app/match-details/7b2e4388-6ef3-40e2-8932-d6dea3048837
Anubis,2023-05-27,16 : 11,0.07,19,19,1.0,83,58,Gamers Club,/app/match-details/c0ab61d3-0784-4100-bc47-11c715b3e356
Ancient,2023-05-25,16 : 7,2.58,20,14,1.43,79,48,Gamers Club,/app/match-details/e4e35503-959f-4b3a-9180-de3167315863
Inferno,2023-05-25,10 : 16,-5.36,12,20,0.6,80,67,Gamers Club,/app/match-details/bb6ff87f-a706-48ba-9ee8-3baa04a51f15
Inferno,2023-05-24,9 : 16,-2.04,12,18,0.67,58,51,Gamers Club,/app/match-details/eab96a2e-3843-4792-a8c8-9396e0e4ca5c
Vertigo,2023-05-24,16 : 6,4.32,24,12,2.0,72,47,Gamers Club,/app/match-details/7c161adb-0ec8-41d2-bfa6-5543f05161c2
Anubis,2023-05-22,16 : 9,4.07,21,15,1.4,83,32,Gamers Club,/app/match-details/8ac00fa5-8917-453f-97a8-50380456bfc9
Vertigo,2023-05-21,11 : 16,6.35,20,17,1.18,92,63,Gamers Club,/app/match-details/b136f2fe-73ee-4fdd-9549-29bdbf7df39f
Inferno,2023-05-21,16 : 13,-3.43,23,18,1.28,79,61,Gamers Club,/app/match-details/8197cd0a-2e97-4628-baef-889adeaf2e12
Ancient,2023-05-21,16 : 10,8.63,22,13,1.69,90,59,Gamers Club,/app/match-details/b0c1b5ff-2ff2-4642-9fd4-8bbd0de8c6e1
Inferno,2023-05-19,19 : 17,-0.97,19,29,0.66,84,52,Gamers Club,/app/match-details/a7a058b6-1e29-43f8-a21b-78d126f1784a
Ancient,2023-05-19,16 : 6,5.16,16,11,1.45,64,35,Gamers Club,/app/match-details/76c5e1dd-ed72-4061-9b62-f9fce3f6db4e
