Map,Date,Score,Rating,Kills,Deaths,K/D,Aim,Utility,Source,Link
Overpass,2023-05-23,4 : 9,6.48,13,9,1.44,67,34,Steam,/app/match-details/c5a6df36-e410-49b6-b5c4-8e516b9a2f6b
Anubis,2023-05-22,16 : 9,-2.13,16,19,0.84,82,44,Gamers Club,/app/match-details/8ac00fa5-8917-453f-97a8-50380456bfc9
Overpass,2023-05-22,16 : 19,1.27,22,25,0.88,63,70,Gamers Club,/app/match-details/f163c81e-5e09-4b00-9794-537ca5506466
Inferno,2023-05-22,6 : 16,-8.44,10,20,0.5,59,51,Gamers Club,/app/match-details/d8a746af-9151-4941-bb0f-4078179c75dc
Ancient,2023-05-22,16 : 6,4.7,19,12,1.58,66,48,Gamers Club,/app/match-details/327da578-4ff6-4a8a-b7f3-7e5d323bc4ca
Vertigo,2023-05-21,11 : 16,-2.53,20,21,0.95,87,50,Gamers Club,/app/match-details/b136f2fe-73ee-4fdd-9549-29bdbf7df39f
Inferno,2023-05-21,16 : 13,-3.12,20,24,0.83,74,81,Gamers Club,/app/match-details/8197cd0a-2e97-4628-baef-889adeaf2e12
Ancient,2023-05-21,16 : 10,-5.11,11,18,0.61,68,33,Gamers Club,/app/match-details/b0c1b5ff-2ff2-4642-9fd4-8bbd0de8c6e1
Vertigo,2023-05-20,3 : 16,-6.41,8,17,0.47,59,47,Gamers Club,/app/match-details/f743363f-4229-471c-9e5b-c26106b19011
Mirage,2023-05-20,4 : 16,0.7,18,17,1.06,58,80,Gamers Club,/app/match-details/2ff186e0-7806-45b1-ae3b-c33efe2cabdf
Vertigo,2023-05-20,16 : 10,-0.6,20,15,1.33,52,24,Gamers Club,/app/match-details/67e755ff-dc66-48c2-acc6-6c119201647c
Nuke,2023-05-20,7 : 16,-0.96,17,18,0.94,48,61,Gamers Club,/app/match-details/a4915c38-1464-4a87-b6ff-69fa0e41f3b3
Anubis,2023-05-19,0 : 9,-8.21,2,9,0.22,88,32,Steam,/app/match-details/0ee32533-b054-49c0-9d24-ddeed343d250
Vertigo,2023-05-19,16 : 6,-3.26,16,14,1.14,73,54,Gamers Club,/app/match-details/858d2367-1eb9-4619-b10a-92a060335523
Inferno,2023-05-18,16 : 11,-2.28,21,13,1.62,81,60,Gamers Club,/app/match-details/d762dcc6-5c9f-488f-b075-1713687c0b88
Vertigo,2023-05-18,11 : 16,-5.15,13,18,0.72,60,50,Gamers Club,/app/match-details/34b1db51-ea9a-4875-b6b0-bd029557aa87
Inferno,2023-05-15,17 : 19,-9.4,14,32,0.44,66,64,Gamers Club,/app/match-details/49deb9fe-6b0f-4136-9ce2-598c765a80fb
Anubis,2023-05-15,11 : 16,0.07,17,21,0.81,67,60,Gamers Club,/app/match-details/29baf5aa-0ab5-4129-9413-c9e01722abcc
Dust2,2023-05-15,2 : 16,-8.95,8,16,0.5,71,74,Gamers Club,/app/match-details/434f15d5-378d-4728-b8c3-99db68f2958b
