Map,Date,Score,Rating,Kills,Deaths,K/D,Aim,Utility,Source,Link
Anubis,2023-05-27,16 : 11,1.91,18,18,1.0,67,40,Gamers Club,/app/match-details/c0ab61d3-0784-4100-bc47-11c715b3e356
Ancient,2023-05-25,16 : 7,5.59,26,15,1.73,67,55,Gamers Club,/app/match-details/e4e35503-959f-4b3a-9180-de3167315863
Inferno,2023-05-25,10 : 16,0.65,17,16,1.06,72,68,Gamers Club,/app/match-details/bb6ff87f-a706-48ba-9ee8-3baa04a51f15
Inferno,2023-05-24,9 : 16,1.71,17,19,0.89,79,59,Gamers Club,/app/match-details/eab96a2e-3843-4792-a8c8-9396e0e4ca5c
Vertigo,2023-05-24,16 : 6,6.01,21,11,1.91,81,46,Gamers Club,/app/match-details/7c161adb-0ec8-41d2-bfa6-5543f05161c2
Anubis,2023-05-24,16 : 2,12.47,22,9,2.44,75,61,Gamers Club,/app/match-details/dac239dd-bb2a-48c8-89e4-2defe3222661
Overpass,2023-05-23,9 : 16,-4.83,14,20,0.7,50,45,Gamers Club,/app/match-details/3d55510b-398f-4f6d-b620-4de57b4a0c2e
Nuke,2023-05-23,14 : 16,-2.58,18,21,0.86,68,76,Gamers Club,/app/match-details/687cdc5a-fd4a-429a-ba98-c4fe6026543d
Inferno,2023-05-23,16 : 12,6.98,23,19,1.21,88,51,Gamers Club,/app/match-details/eac0cab2-dc8e-454a-9b64-c6287782cae1
Anubis,2023-05-22,16 : 9,4.28,17,17,1.0,59,62,Gamers Club,/app/match-details/8ac00fa5-8917-453f-97a8-50380456bfc9
Overpass,2023-05-22,16 : 19,-1.01,26,26,1.0,68,40,Gamers Club,/app/match-details/f163c81e-5e09-4b00-9794-537ca5506466
Inferno,2023-05-22,6 : 16,1.48,19,18,1.06,74,62,Gamers Club,/app/match-details/d8a746af-9151-4941-bb0f-4078179c75dc
Ancient,2023-05-22,16 : 6,8.46,24,13,1.85,86,46,Gamers Club,/app/match-details/327da578-4ff6-4a8a-b7f3-7e5d323bc4ca
Vertigo,2023-05-20,16 : 10,6.05,24,16,1.5,59,50,Gamers Club,/app/match-details/67e755ff-dc66-48c2-acc6-6c119201647c
Nuke,2023-05-20,7 : 16,-3.49,19,19,1.0,79,47,Gamers Club,/app/match-details/a4915c38-1464-4a87-b6ff-69fa0e41f3b3
Inferno,2023-05-19,19 : 17,0.28,26,28,0.93,69,55,Gamers Club,/app/match-details/a7a058b6-1e29-43f8-a21b-78d126f1784a
Ancient,2023-05-19,16 : 6,6.44,21,10,2.1,66,64,Gamers Club,/app/match-details/76c5e1dd-ed72-4061-9b62-f9fce3f6db4e
Vertigo,2023-05-19,16 : 6,9.16,24,9,2.67,70,56,Gamers Club,/app/match-details/858d2367-1eb9-4619-b10a-92a060335523
Inferno,2023-05-15,17 : 19,-5.64,15,24,0.63,51,69,Gamers Club,/app/match-details/49deb9fe-6b0f-4136-9ce2-598c765a80fb
